[18:11:59] 🐋 WHALE SELL: 113.01 ETH @ $2068.27
[18:12:52] 🐋 WHALE BUY: 162.70 ETH @ $2068.79
[18:14:17] 🐋 WHALE BUY: 65.93 ETH @ $2068.31
[18:14:22] 🐋 WHALE BUY: 58.70 ETH @ $2068.67
[18:14:28] 🐋 WHALE BUY: 50.00 ETH @ $2068.52
[18:15:21] 🐋 WHALE SELL: 112.63 ETH @ $2067.35
[18:15:42] 🐋 WHALE SELL: 67.51 ETH @ $2067.04
[18:16:04] 🐋 WHALE SELL: 50.24 ETH @ $2065.99
[18:16:31] 🐋 WHALE BUY: 86.75 ETH @ $2065.86
[18:17:02] 🐋 WHALE BUY: 56.62 ETH @ $2066.0
[18:17:24] 🐋 WHALE SELL: 66.81 ETH @ $2067.83
[18:17:34] 🐋 WHALE SELL: 102.69 ETH @ $2067.83
[18:18:44] 🐋 WHALE BUY: 61.66 ETH @ $2065.08
[18:19:00] 🐋 WHALE BUY: 50.00 ETH @ $2064.89
[18:19:00] 🐋 WHALE SELL: 100.00 ETH @ $2064.88
[18:19:16] 🐋 WHALE SELL: 62.00 ETH @ $2065.2
[18:19:21] 🐋 WHALE SELL: 54.46 ETH @ $2065.27
[18:20:04] 🐋 WHALE BUY: 51.12 ETH @ $2065.28
[18:20:25] 🐋 WHALE BUY: 75.15 ETH @ $2065.83
[18:20:36] 🐋 WHALE BUY: 51.78 ETH @ $2065.87
[18:20:41] 🐋 WHALE SELL: 100.51 ETH @ $2065.53
[18:21:13] 🐋 WHALE BUY: 87.12 ETH @ $2064.23
[18:21:13] 🐋 WHALE SELL: 62.50 ETH @ $2064.22
[18:21:25] 🐋 WHALE SELL: 309.29 ETH @ $2063.0
[18:21:30] 🐋 WHALE SELL: 53.68 ETH @ $2063.25
[18:21:41] 🐋 WHALE SELL: 95.76 ETH @ $2062.94
[18:21:52] 🐋 WHALE BUY: 61.86 ETH @ $2062.88
[18:21:52] 🐋 WHALE BUY: 57.30 ETH @ $2062.94
[18:22:08] 🐋 WHALE BUY: 62.65 ETH @ $2063.57
[18:22:18] 🐋 WHALE BUY: 100.48 ETH @ $2064.27
[18:22:24] 🐋 WHALE BUY: 63.00 ETH @ $2063.41
[18:22:50] 🐋 WHALE BUY: 97.05 ETH @ $2063.58
[18:22:50] 🐋 WHALE SELL: 137.69 ETH @ $2063.57
[18:23:01] 🐋 WHALE SELL: 100.36 ETH @ $2063.19
[18:23:01] 🐋 WHALE BUY: 61.29 ETH @ $2063.06
[18:23:11] 🐋 WHALE SELL: 174.29 ETH @ $2063.1
[18:23:22] 🐋 WHALE SELL: 54.13 ETH @ $2062.0
[18:23:22] 🐋 WHALE SELL: 112.50 ETH @ $2062.0
[18:23:39] 🐋 WHALE BUY: 51.66 ETH @ $2062.16
[18:23:54] 🐋 WHALE BUY: 540.24 ETH @ $2062.0
[18:24:00] 🐋 WHALE BUY: 51.04 ETH @ $2062.0
[18:24:16] 🐋 WHALE SELL: 88.92 ETH @ $2063.1
[18:24:48] 🐋 WHALE SELL: 51.00 ETH @ $2062.35
[18:25:14] 🐋 WHALE BUY: 50.49 ETH @ $2063.42
[18:25:36] 🐋 WHALE SELL: 78.93 ETH @ $2063.48
[18:26:17] 🐋 WHALE SELL: 70.00 ETH @ $2062.63
[18:27:31] 🐋 WHALE SELL: 117.99 ETH @ $2064.41
[18:28:03] 🐋 WHALE SELL: 75.75 ETH @ $2063.06
[18:28:13] 🐋 WHALE BUY: 66.26 ETH @ $2063.99
[18:28:24] 🐋 WHALE SELL: 56.75 ETH @ $2064.07
[18:28:35] 🐋 WHALE BUY: 50.17 ETH @ $2063.55
[18:28:40] 🐋 WHALE SELL: 80.82 ETH @ $2063.43
[18:29:23] 🐋 WHALE BUY: 50.13 ETH @ $2063.38
[18:29:33] 🐋 WHALE SELL: 57.62 ETH @ $2063.43
